optimised_on,target_n,lambda_liq,wavg_par_score,wavg_trace_score,imputed_weight_share,sector_L1_pp,rating_L1_pp,maturity_L1_pp,duration_diff,ytm,ytm_diff_pp,top10_issuer_pct,issuer_hhi
par,50,0.15,0.910470944417201,0.6912070025204647,0.23200000000000015,14.591,0.569,1.211,0.018,5.6301,0.0247,30.0,280.2
par,50,0.175,0.9138897919601269,0.6941120943965974,0.22200000000000225,14.591,0.841,6.83,0.003,5.6597,0.0543,30.0,291.9
par,50,0.2,0.9132893177374952,0.694315436539852,0.214891479198053,12.266,0.191,2.075,0.047,5.6556,0.0501,30.0,263.8
par,50,0.25,0.912065526242238,0.6939799844042706,0.21000000000000013,14.591,0.17,9.604,0.136,5.645,0.0396,30.0,286.9
par,50,0.3,0.9135186197474513,0.6945352884968358,0.21557169231845377,12.266,0.296,2.075,0.046,5.6562,0.0508,30.0,264.0
par,50,0.4,0.9137414380320584,0.6947434546780528,0.21624074216547703,12.266,0.4,2.075,0.046,5.6569,0.0514,30.0,264.3
par,50,0.5,0.9139185818790339,0.6948693007103216,0.2168311526182871,12.266,0.505,2.075,0.046,5.6572,0.0517,30.0,264.6
par,50,0.75,0.9122035700380444,0.6973976623093178,0.20999999999999994,14.591,1.083,9.604,0.131,5.6464,0.041,30.0,292.1
par,50,1.0,0.9141635789720597,0.6971026837293465,0.22199999999999967,17.227,1.326,11.204,0.162,5.6521,0.0467,30.0,293.6
par,50,1.5,0.9152810800155387,0.6932264837562164,0.23728384070857805,14.174,1.51,1.958,0.017,5.6611,0.0557,30.0,266.2
par,50,2.0,0.9184910495509355,0.6916463876091806,0.24000000000000005,17.998,0.376,12.079,0.299,5.7278,0.1224,30.0,296.4
par,100,0.0,0.8457215523177126,0.684528479027268,0.20395512125100443,1.226,0.0,0.1,0.0,5.6054,0.0,26.36,180.2
par,100,0.0025,0.9042695299644622,0.693109675090686,0.1702792657133423,10.182,0.378,0.1,0.002,5.6047,0.0007,30.0,263.4
par,100,0.005,0.9040199598492793,0.6814971731780904,0.23489194706623276,4.101,0.009,2.075,0.02,5.6132,0.0077,30.0,236.4
par,100,0.0075,0.9033869269618221,0.6855256647613803,0.198256510889746,5.109,0.718,1.917,0.043,5.5892,0.0163,30.0,247.4
par,100,0.01,0.8989329429716878,0.6846038236125881,0.22145731982142433,7.307,0.011,3.147,0.012,5.6071,0.0016,30.0,259.0
par,100,0.015,0.9053458066201138,0.6875679802920144,0.2528461818800963,7.3,0.011,0.133,0.012,5.6048,0.0007,30.0,256.2
par,100,0.02,0.90513570824477,0.6852927882682273,0.25509114317149695,4.101,0.03,2.075,0.028,5.6108,0.0054,30.0,233.6
par,100,0.025,0.8960944803902439,0.6845885485783015,0.20360192148485756,4.113,0.154,8.165,0.111,5.6168,0.0114,30.0,250.4
par,100,0.03,0.8966549845829261,0.6846369612187336,0.20395488039901183,4.124,0.157,8.165,0.114,5.6177,0.0123,30.0,253.1
par,100,0.04,0.9069485408626516,0.6882947603807894,0.20466389966722154,8.188,0.024,0.1,0.0,5.6107,0.0053,30.0,261.2
par,100,0.05,0.9084161023926666,0.690039387131542,0.2249612873383947,9.593,0.044,0.224,0.024,5.6342,0.0287,30.02,268.7
par,100,0.06,0.9068455155642783,0.6834358925232515,0.2539607404833317,4.101,0.096,2.075,0.031,5.6276,0.0221,30.0,238.5
par,100,0.075,0.9085745636838205,0.6901719509249986,0.2248816595176742,9.593,0.053,0.248,0.02,5.6384,0.033,30.0,268.8
